f_property_type,f_room_type,f_room_type2,usd_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_host_total_listings_count,n_days_since,d_dedicatedworkspace,d_washer,d_microwave,d_smokealarm,d_essentials,d_dryer,d_hotwater,d_hangers,d_iron,d_airconditioning,d_hairdryer,d_bedlinens,d_lockbox,d_breakfast,d_cookingbasics,d_dishwasher,d_fireextinguisher,d_privateentrance,d_keypad,d_ethernetconnection,d_bathroomessentials,d_bedroomcomforts,d_pool,d_beachessentials,d_windowguards,d_highchair,d_outletcovers,d_babybath,d_bakingsheet,d_crib,d_elevator,d_lakeaccess,d_showergel,d_smartlock,d_gym,d_ricemaker,d_babysitterrecommendations,d_indoorfireplace,d_evcharger,d_fireplaceguards,d_gameconsole,d_buildingstaff,d_beachfront,d_bodysoap,d_ceilingfan,d_freezer,d_portablefans,d_petsallowed,d_waterfront,d_laundromatnearby,d_smokingallowed,d_outdoorshower,d_outdoorfurniture,d_diningtable,d_wineglasses,d_changingtable,d_babymonitor,d_portableheater,d_minifridge,d_cleaningproducts,d_soundsystem,d_recordplayer,d_clothingstorage,d_piano,d_trashcompactor,d_pooltoys,d_boardgames,d_safe,d_bidet,d_mosquitonet,d_firepit,d_refrigerator_agg,d_tv_agg,d_stove_agg,d_shampoo_agg,d_conditioner_agg,d_wifi_agg,d_tub_agg,d_oven_agg,d_kitchen_agg,d_heating_agg,d_coffee_maker,d_bread_maker,d_barbecue_tool,d_host_is_superhost,d_host_has_profile_pic,d_host_identity_verified,d_has_availability,d_instant_bookable,price,id,neighbourhood_cleansed,room_type,property_type
Entire_apt,Entire home/apt,Entire/Apt,105,100,2,NA,2,96,10,0.11,30,4,2728,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,105,127766,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,110,100,3,1,1,94,77,0.67,30,5,3450,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,110,131557,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,87,97,2,1,1,90,331,3.63,1,7,2732,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,87,134553,Topanga,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,150,100,2,1,1,91,1,0.01,90,2,2784,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,150,152514,Manhattan Beach,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,165,100,4,2,2,92,19,0.21,30,17,2745,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,165,165978,Mid-Wilshire,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,195,100,4,1,2,99,21,0.25,30,4,2498,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,195,172707,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,145,94,4,2,0,89,101,0.88,30,1,3448,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,145,173568,Fairfax,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,108,100,2,2,2,96,16,0.14,6,0,3430,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,108,181430,Santa Monica,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,130,100,5,1,3,99,33,0.29,30,1,3359,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,130,181511,Elysian Valley,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,152,100,2,2,2,89,7,0.07,30,1,3223,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,152,183319,Venice,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,59,NA,2,1,1,88,23,0.2,30,1,3384,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,59,194809,Palms,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,80,100,2,1,1,96,58,0.52,30,5,3355,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,80,196410,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,110,94,6,2,0,83,80,0.71,30,1,3377,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,110,204256,Fairfax,Entire home/apt,Entire_apt
Room_apt,Private room,Private,68,100,2,1,1,91,309,2.72,2,1,3413,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,68,210855,Santa Monica,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,170,100,6,2,3,98,90,0.81,31,9,3340,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,170,212140,Silver Lake,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,135,100,4,1,2,98,64,0.58,31,9,3330,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,135,212142,Los Feliz,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,105,100,2,1,1,100,3,0.1,33,1,911,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,105,214533,Hollywood,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,66,100,2,1,2,96,75,0.67,30,1,3342,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,66,217666,Fairfax,Entire home/apt,Entire_apt
Room_apt,Private room,Private,62,NA,3,1,2,98,30,0.28,30,2,3235,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,62,221502,Koreatown,Private room,Room_apt
Room_apt,Private room,Private,65,NA,2,1,1,NA,1,0.02,30,1,1823,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,65,226869,Venice,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,89,98,4,1,2,97,40,2.21,30,40,543,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,89,229799,West Los Angeles,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,60,NA,2,1,1,67,12,0.11,30,3,3211,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,60,232085,Los Feliz,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,129,100,4,1,2,90,22,0.21,30,6,3115,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,129,255656,Hollywood,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,150,100,6,2,4,82,26,0.23,30,6,3332,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,150,255701,Hollywood,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,67,100,2,NA,1,99,16,0.15,31,3,3200,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,67,256092,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,125,NA,4,1,1,NA,0,NA,30,1,NA,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,125,256182,Westlake,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,265,100,5,2,5,89,55,0.54,30,4,3050,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,265,258803,Beverly Grove,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,65,NA,2,1,2,87,57,0.52,30,1,3290,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,65,259679,Highland Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,68,100,2,NA,1,96,18,0.16,31,3,3317,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,68,260684,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,126,NA,2,1,1,98,23,0.21,30,1,3297,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,126,278184,Venice,Entire home/apt,Entire_apt
Room_apt,Private room,Private,118,NA,2,1,1,NA,0,NA,30,1,NA,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,118,279086,Mar Vista,Private room,Room_apt
Entire_apt,Entire home/apt,Entire/Apt,67,100,2,NA,1,95,20,0.19,31,3,3117,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,67,286771,Echo Park,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,79,97,2,1,2,90,63,0.74,7,14,2562,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,79,290530,Long Beach,Entire home/apt,Entire_apt
Entire_apt,Entire home/apt,Entire/Apt,185,NA,2,1,1,100,7,0.12,30,1,1724,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,185,295630,Hollywood,Entire home/apt,Entire_apt
